profile_id,email,target_role,archetype,year_of_study,n_skills,core_skills_covered,core_skills_total,core_coverage_pct
bd9c66b3-ad3c-2d6d-1a3d-1fa7bc8960a9,student0001@synthetic.seagas.test,Data Scientist,strong,2,15,6,6,100.0
c754108f-f418-8f3f-8a14-be62295b4715,student0002@synthetic.seagas.test,Cybersecurity Analyst,average,2,10,4,4,100.0
27a0c3d7-7c96-7f79-b7e9-9acaa97065e1,student0003@synthetic.seagas.test,Data Analyst,average,1,13,5,7,71.4
cf8ebc5a-ccc5-6569-f9e8-a3692999b735,student0004@synthetic.seagas.test,Cloud Engineer,average,3,11,3,5,60.0
31c681ec-935f-2b0a-a138-4ddce2d9de5d,student0005@synthetic.seagas.test,Cloud Engineer,average,3,9,3,5,60.0
6bebac31-d4f8-fd72-f382-1cfdc083b73a,student0006@synthetic.seagas.test,Software Developer,average,1,8,6,6,100.0
e14eb70d-b380-c73a-989d-9d4ae15ca666,student0007@synthetic.seagas.test,Software Developer,strong,2,13,6,6,100.0
b04d3376-77fc-9703-1fd5-a423706c5c56,student0008@synthetic.seagas.test,Cybersecurity Analyst,average,3,7,3,4,75.0
b495db4e-8245-6fb4-4ab7-706eb77350ca,student0009@synthetic.seagas.test,Web Developer,strong,3,18,4,5,80.0
2303f6c6-d69d-42f1-ae4c-84ffa8c01f05,student0010@synthetic.seagas.test,Data Scientist,average,3,9,5,6,83.3
a9ab364a-1777-e8cb-7468-5b98d2fe2fde,student0011@synthetic.seagas.test,Software Developer,average,2,7,3,6,50.0
4140752c-aa44-8259-5001-8b7b6d4067f4,student0012@synthetic.seagas.test,Data Analyst,average,4,11,5,7,71.4
b5a1b949-6788-4209-92ca-525a6de59332,student0013@synthetic.seagas.test,Data Analyst,average,4,11,6,7,85.7
b3ecb951-ab8c-bf97-20b7-1785d02ce0c1,student0014@synthetic.seagas.test,Cloud Engineer,average,2,10,4,5,80.0
c6b33fe6-1c76-bdf6-6c5a-6c93871c0884,student0015@synthetic.seagas.test,Data Analyst,weak,2,5,1,7,14.3
5e368127-cca1-b45c-1fdd-980a45f18619,student0016@synthetic.seagas.test,Data Analyst,weak,4,6,3,7,42.9
5c8ac066-cb2f-afa3-2c91-3a7ca3404f08,student0017@synthetic.seagas.test,Cloud Engineer,weak,3,11,2,5,40.0
f6729464-3f8e-a40a-6b0a-e0e39d896047,student0018@synthetic.seagas.test,Data Analyst,strong,4,13,6,7,85.7
9c2dfa97-43ad-3d62-b17c-fb21cdbc2c1c,student0019@synthetic.seagas.test,Web Developer,average,2,10,4,5,80.0
c1dd484a-aca5-8d95-915a-1c304b86b5a1,student0020@synthetic.seagas.test,Data Scientist,average,2,12,6,6,100.0
8a0f9508-dfe2-c0a0-a96b-3c42f6d22a7b,student0021@synthetic.seagas.test,Web Developer,weak,2,6,3,5,60.0
24f43c62-b523-c0de-db87-d29c4cfd0fc1,student0022@synthetic.seagas.test,Data Analyst,weak,3,7,6,7,85.7
f50d7a37-a44d-9fec-fd85-d7fa8ac97b01,student0023@synthetic.seagas.test,Software Developer,average,2,11,5,6,83.3
735741e5-fe1a-1ba9-c896-9c5b45f8c28d,student0024@synthetic.seagas.test,Cloud Engineer,average,2,14,4,5,80.0
ca6caf9b-0969-7101-8b2c-550a6b15c11b,student0025@synthetic.seagas.test,Web Developer,average,3,12,4,5,80.0
2edc017e-1df0-5d18-4e2d-62553d131a3d,student0026@synthetic.seagas.test,Cloud Engineer,average,3,6,3,5,60.0
52daf681-2b1a-c76c-89ec-bc5198cbaa52,student0027@synthetic.seagas.test,Cybersecurity Analyst,weak,3,3,2,4,50.0
c9ce44bd-7c3f-1add-da38-5db590eeb067,student0028@synthetic.seagas.test,Data Analyst,weak,3,8,4,7,57.1
d90f74e9-06dd-f6ca-b0c3-0a59f0f7ad22,student0029@synthetic.seagas.test,Data Analyst,average,2,5,4,7,57.1
44cdbfdd-df9b-141e-c7f7-bda1bff15840,student0030@synthetic.seagas.test,Web Developer,weak,3,5,1,5,20.0
01a1fb0f-268b-84b6-3ec0-a285cbc4ec0e,student0031@synthetic.seagas.test,Cloud Engineer,weak,3,6,2,5,40.0
67863fb3-f3bc-9a71-07f4-fee52c82989f,student0032@synthetic.seagas.test,Data Analyst,strong,2,11,7,7,100.0
